82,83
84,85
86,87
78,79
148,149
150,151
152,153
154,155
90,91
88,89
116,117
180,181
18,19
162,163
164,165
166,167
168,169
96,97
94,95
92,93
42,43
40,41
36,37
32,33
28,29
80,81
98,99
120,121
12,13
118,119
132,133
130,131
126,127
124,125
74,75
178,179
176,177
174,175
172,173
170,171
200,201
202,203
204,205
72,73
70,71
68,69
66,67
64,65
62,63
60,61
8,9
26,27
182,183
184,185
190,191
192,193
100,101
10,11
108,109
112,113
24,25
22,23
20,21
44,45
46,47
48,49
50,51
52,53
56,57
208,209
160,161
138,139
14,15
142,143
144,145
146,147
104,105
102,103
122,123
16,17
158,159
106,107
9,10
89,90
85,86
81,82
73,74
69,70
65,66
61,62
41,42
37,38
36,39
33,34
25,26
21,22
193,194
189,190
185,186
181,182
177,178
173,174
17,18
169,170
165,166
105,106
101,102
109,110
117,118
125,126
129,130
13,14
133,134
145,146
149,150
153,154
201,202
209,210
99,100
91,92
83,84
59,60
51,52
43,44
27,28
19,20
179,180
171,172
163,164
155,156
107,108
11,12
115,116
123,124
131,132
139,140
147,148
203,204
87,88
71,72
55,56
39,40
23,24
183,184
103,104
119,120
151,152
199,200
118,162
11,31
110,112
128,158
55,53
113,115
140,142
197,199
113,72
122,141
127,128
127,129
138,134
141,157
79,80
47,48
175,176
143,144
15,16
207,208
15,122
157,139
95,96
93,98
70,121
31,32
159,160
186,93
19,68
191,192
21,46
23,50
23,59
34,36
195,197
38,28
48,64
67,167
67,168
75,189
91,94
75,78
115,195
106,205
210,103
207,211
105,211
